dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
yelp,HMT-HM[7b],cold_start_user,ndcg@5,272,0.39366141375756375,0.448244087118453,-0.05458267336088922,-0.10735640841314237,-0.002115035565847308,0.0372,hurts*,0.1236,ns
yelp,HMT-HM[7b],cold_start_user,hr@5,272,0.5919117647058824,0.6580882352941176,-0.0661764705882353,-0.13602941176470587,0.003676470588235294,0.0776,ns,0.14550000000000002,ns
yelp,HMT-HM[7b],cold_start_item,ndcg@5,125,0.3562748111449009,0.4322417793285456,-0.07596696818364469,-0.14690249617515322,-0.0035708493191908175,0.0412,hurts*,0.1236,ns
yelp,HMT-HM[7b],cold_start_item,hr@5,125,0.552,0.624,-0.072,-0.168,0.024,0.1672,ns,0.2786666666666667,ns
yelp,HMT-HM[7b],evolving_interest,ndcg@5,93,0.38126891585972045,0.3688594484481216,0.01240946741159889,-0.07079780180035047,0.09502298818573894,0.7764,ns,0.7764,ns
yelp,HMT-HM[7b],evolving_interest,hr@5,93,0.5698924731182796,0.5053763440860215,0.06451612903225806,-0.053763440860215055,0.17204301075268819,0.2916,ns,0.43740000000000007,ns
yelp,HMT-HM[7b],POOLED,ndcg@5,859,0.3821404054386432,0.4278825725126764,-0.04574216707403328,-0.07396701813105103,-0.017103443450070414,0.0012,hurts*,0.018,hurts*
yelp,HMT-HM[7b],POOLED,hr@5,859,0.5762514551804424,0.6251455180442375,-0.048894062863795114,-0.08731082654249127,-0.009313154831199068,0.014,hurts*,0.0525,ns
amazon,HMT-HM[llama1b],classic,ndcg@5,376,0.37059445790639334,0.37623319718564185,-0.005638739279248547,-0.02132465497266352,0.009950595555637369,0.4812,ns,0.6455675675675676,ns
amazon,HMT-HM[llama1b],classic,hr@5,376,0.5771276595744681,0.5877659574468085,-0.010638297872340425,-0.04521276595744681,0.023936170212765957,0.5732,ns,0.7369714285714286,ns
amazon,HMT-HM[llama1b],cold_start_user,ndcg@5,140,0.3433012327486382,0.3533806136091059,-0.010079380860467634,-0.03689302777527365,0.01784164582430641,0.4756,ns,0.6455675675675676,ns
amazon,HMT-HM[llama1b],cold_start_user,hr@5,140,0.55,0.5714285714285714,-0.02142857142857143,-0.07857142857142857,0.03571428571428571,0.5708,ns,0.7369714285714286,ns
